,Kernel,C,Gamma,Degree,Confusion Matrix Split 11,Confusion Matrix Split 12,Confusion Matrix Split 13,Confusion Matrix Split 14,Confusion Matrix Split 15,Confusion Matrix Split 16,Confusion Matrix Split 17,Confusion Matrix Split 18,Confusion Matrix Split 19,Confusion Matrix Split 20
13,poly,1.0,10.0,3.0,"[5, 0, 2, 3]","[1, 4, 2, 3]","[3, 2, 3, 2]","[2, 3, 4, 1]","[5, 0, 2, 3]","[1, 4, 1, 4]","[4, 1, 1, 3]","[1, 4, 1, 3]","[2, 2, 4, 1]","[2, 2, 2, 3]"
14,linear,10.0,,,"[4, 1, 2, 3]","[5, 0, 1, 4]","[3, 2, 2, 3]","[2, 3, 2, 3]","[4, 1, 1, 4]","[3, 2, 1, 4]","[3, 2, 2, 2]","[1, 4, 2, 2]","[1, 3, 4, 1]","[3, 1, 1, 4]"
15,rbf,10.0,1.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
16,poly,10.0,1.0,2.0,"[5, 0, 0, 5]","[2, 3, 0, 5]","[2, 3, 3, 2]","[2, 3, 4, 1]","[4, 1, 2, 3]","[2, 3, 2, 3]","[3, 2, 2, 2]","[1, 4, 1, 3]","[2, 2, 4, 1]","[2, 2, 4, 1]"
17,poly,10.0,1.0,3.0,"[5, 0, 2, 3]","[1, 4, 2, 3]","[3, 2, 3, 2]","[2, 3, 4, 1]","[5, 0, 2, 3]","[1, 4, 1, 4]","[4, 1, 1, 3]","[1, 4, 1, 3]","[2, 2, 4, 1]","[2, 2, 2, 3]"
18,rbf,10.0,10.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
19,poly,10.0,10.0,2.0,"[5, 0, 0, 5]","[2, 3, 0, 5]","[2, 3, 3, 2]","[2, 3, 4, 1]","[4, 1, 2, 3]","[2, 3, 2, 3]","[3, 2, 2, 2]","[1, 4, 1, 3]","[2, 2, 4, 1]","[2, 2, 4, 1]"
20,poly,10.0,10.0,3.0,"[5, 0, 2, 3]","[1, 4, 2, 3]","[3, 2, 3, 2]","[2, 3, 4, 1]","[5, 0, 2, 3]","[1, 4, 1, 4]","[4, 1, 1, 3]","[1, 4, 1, 3]","[2, 2, 4, 1]","[2, 2, 2, 3]"
21,linear,100.0,,,"[4, 1, 2, 3]","[5, 0, 1, 4]","[3, 2, 3, 2]","[2, 3, 2, 3]","[4, 1, 1, 4]","[3, 2, 1, 4]","[3, 2, 2, 2]","[1, 4, 2, 2]","[1, 3, 4, 1]","[3, 1, 1, 4]"
22,rbf,100.0,1.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
23,poly,100.0,1.0,2.0,"[5, 0, 0, 5]","[2, 3, 0, 5]","[2, 3, 3, 2]","[2, 3, 4, 1]","[4, 1, 2, 3]","[2, 3, 2, 3]","[3, 2, 2, 2]","[1, 4, 1, 3]","[2, 2, 4, 1]","[2, 2, 4, 1]"
24,poly,100.0,1.0,3.0,"[5, 0, 2, 3]","[1, 4, 2, 3]","[3, 2, 3, 2]","[2, 3, 4, 1]","[5, 0, 2, 3]","[1, 4, 1, 4]","[4, 1, 1, 3]","[1, 4, 1, 3]","[2, 2, 4, 1]","[2, 2, 2, 3]"
25,rbf,100.0,10.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
26,poly,100.0,10.0,2.0,"[5, 0, 0, 5]","[2, 3, 0, 5]","[2, 3, 3, 2]","[2, 3, 4, 1]","[4, 1, 2, 3]","[2, 3, 2, 3]","[3, 2, 2, 2]","[1, 4, 1, 3]","[2, 2, 4, 1]","[2, 2, 4, 1]"
27,poly,100.0,10.0,3.0,"[5, 0, 2, 3]","[1, 4, 2, 3]","[3, 2, 3, 2]","[2, 3, 4, 1]","[5, 0, 2, 3]","[1, 4, 1, 4]","[4, 1, 1, 3]","[1, 4, 1, 3]","[2, 2, 4, 1]","[2, 2, 2, 3]"
28,linear,1000.0,,,"[4, 1, 2, 3]","[5, 0, 1, 4]","[3, 2, 2, 3]","[2, 3, 2, 3]","[4, 1, 1, 4]","[3, 2, 1, 4]","[3, 2, 2, 2]","[1, 4, 2, 2]","[1, 3, 4, 1]","[3, 1, 1, 4]"
29,rbf,1000.0,1.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
30,poly,1000.0,1.0,2.0,"[5, 0, 0, 5]","[2, 3, 0, 5]","[2, 3, 3, 2]","[2, 3, 4, 1]","[4, 1, 2, 3]","[2, 3, 2, 3]","[3, 2, 2, 2]","[1, 4, 1, 3]","[2, 2, 4, 1]","[2, 2, 4, 1]"
31,poly,1000.0,1.0,3.0,"[5, 0, 2, 3]","[1, 4, 2, 3]","[3, 2, 3, 2]","[2, 3, 4, 1]","[5, 0, 2, 3]","[1, 4, 1, 4]","[4, 1, 1, 3]","[1, 4, 1, 3]","[2, 2, 4, 1]","[2, 2, 2, 3]"
32,rbf,1000.0,10.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
33,poly,1000.0,10.0,2.0,"[5, 0, 0, 5]","[2, 3, 0, 5]","[2, 3, 3, 2]","[2, 3, 4, 1]","[4, 1, 2, 3]","[2, 3, 2, 3]","[3, 2, 2, 2]","[1, 4, 1, 3]","[2, 2, 4, 1]","[2, 2, 4, 1]"
34,poly,1000.0,10.0,3.0,"[5, 0, 2, 3]","[1, 4, 2, 3]","[3, 2, 3, 2]","[2, 3, 4, 1]","[5, 0, 2, 3]","[1, 4, 1, 4]","[4, 1, 1, 3]","[1, 4, 1, 3]","[2, 2, 4, 1]","[2, 2, 2, 3]"
